game_id,winner,turns,error
g0000,p1,8,
g0001,p1,8,
g0002,p1,8,
g0003,p1,8,
g0004,p1,8,
g0005,p1,8,
g0006,p1,8,
g0007,p1,8,
g0008,p1,8,
g0009,p1,8,
g0010,p1,8,
g0011,p1,8,
g0012,p1,8,
g0013,p1,8,
g0014,p1,8,
g0015,p1,8,
g0016,p1,8,
g0017,p1,8,
g0018,p1,8,
g0019,p1,8,
g0020,p1,8,
g0021,p1,8,
g0022,p1,8,
g0023,p1,8,
g0024,p1,8,
g0025,p1,8,
g0026,p1,8,
g0027,p1,8,
g0028,p1,8,
g0029,p1,8,
g0030,p1,8,
g0031,p1,8,
g0032,p1,8,
g0033,p1,8,
g0034,p1,8,
g0035,p1,8,
g0036,p1,8,
g0037,p1,8,
g0038,p1,8,
g0039,p1,8,
g0040,p1,8,
g0041,p1,8,
g0042,p1,8,
g0043,p1,8,
g0044,p1,8,
g0045,p1,8,
g0046,p1,8,
g0047,p1,8,
g0048,p1,8,
g0049,p1,8,
g0050,p1,8,
g0051,p1,8,
g0052,p1,8,
g0053,p1,8,
g0054,p1,8,
g0055,p1,8,
g0056,p1,8,
g0057,p1,8,
g0058,p1,8,
g0059,p1,8,
g0060,p1,8,
g0061,p1,8,
g0062,p1,8,
g0063,p1,8,
g0064,p1,8,
g0065,p1,8,
g0066,p1,8,
g0067,p1,8,
g0068,p1,8,
g0069,p1,8,
g0070,p1,8,
g0071,p1,8,
g0072,p1,8,
g0073,p1,8,
g0074,p1,8,
g0075,p1,8,
g0076,p1,8,
g0077,p1,8,
g0078,p1,8,
g0079,p1,8,
g0080,p1,8,
g0081,p1,8,
g0082,p1,8,
g0083,p1,8,
g0084,p1,8,
g0085,p1,8,
g0086,p1,8,
g0087,p1,8,
g0088,p1,8,
g0089,p1,8,
g0090,p1,8,
g0091,p1,8,
g0092,p1,8,
g0093,p1,8,
g0094,p1,8,
g0095,p1,8,
g0096,p1,8,
g0097,p1,8,
g0098,p1,8,
g0099,p1,8,
