game,winner,selections
1,p1,179
2,p1,237
3,p0,259
4,p0,265
5,p0,260
6,p1,28
7,p0,286
8,p1,327
9,p1,26
10,p1,76
11,p1,107
12,p1,152
13,p1,228
14,p1,129
15,p0,231
16,p0,209
17,p0,23
18,p1,275
19,p1,129
20,p1,171
21,p0,217
22,p1,187
23,p1,318
24,p1,184
25,p1,65
26,p1,257
27,p1,41
28,p1,286
29,p1,215
30,p0,50
31,p1,260
32,p1,19
33,p0,61
34,p0,203
35,p0,216
36,p0,199
37,p1,245
38,p0,176
39,p0,231
40,p1,177
41,p0,236
42,p1,303
43,p0,295
44,p1,13
45,p0,16
46,p0,56
47,p0,147
48,p1,21
49,p1,178
50,p0,261
